tconst,title,year,runtime,genre,director,rating,num_votes,img_url
tt0014429,Safety Last!,1923,74,"Action,Comedy,Thriller",NA,8.1,16621,NA
tt0014532,The Ten Commandments,1923,136,"Biography,Drama,Fantasy",NA,6.8,1753,NA
tt0014538,Three Ages,1923,63,Comedy,NA,7.1,3702,NA
tt0014586,Waxworks,1924,65,"Fantasy,Horror",NA,6.7,1480,NA
tt0014611,Why Worry?,1923,63,"Adventure,Comedy,Family",NA,7.4,1456,NA
tt0014624,A Woman of Paris: A Drama of Fate,1923,82,"Drama,Romance",NA,7.0,4375,NA
tt0014646,Aelita: Queen of Mars,1924,111,"Adventure,Drama,Fantasy",NA,6.6,2158,NA
tt0014945,Girl Shy,1924,87,"Comedy,Romance",NA,7.7,2886,NA
tt0014972,He Who Gets Slapped,1924,95,"Drama,Romance,Thriller",NA,7.8,2731,NA
tt0015002,Hot Water,1924,60,Comedy,NA,7.2,1152,NA
tt0015016,The Iron Horse,1924,150,"History,Romance,Western",NA,7.2,1774,NA
tt0015064,The Last Laugh,1924,77,Drama,NA,8.1,11225,NA
tt0015136,Michael,1924,93,"Drama,Romance",NA,7.1,1429,NA
tt0015163,The Navigator,1924,59,"Action,Comedy,Romance",NA,7.8,8285,NA
tt0015174,Die Nibelungen: Kriemhild's Revenge,1924,129,"Adventure,Drama,Fantasy",NA,8.0,3597,NA
tt0015175,Die Nibelungen: Siegfried,1924,143,"Adventure,Drama,Fantasy",NA,8.1,4735,NA
tt0015202,The Hands of Orlac,1924,92,"Crime,Horror,Mystery",NA,7.0,1956,NA
tt0015324,Sherlock Jr.,1924,45,"Action,Comedy,Romance",NA,8.2,34233,NA
tt0015361,Strike,1925,82,Drama,NA,7.6,6346,NA
tt0015400,The Thief of Bagdad,1924,155,"Adventure,Family,Fantasy",NA,7.8,5073,NA
tt0015532,The Adventures of Prince Achmed,1926,81,"Adventure,Animation,Fantasy",NA,7.8,4790,NA
tt0015624,The Big Parade,1925,151,"Drama,Romance,War",NA,7.9,5802,NA
tt0015648,Battleship Potemkin,1925,75,"Drama,History",NA,8.0,48678,NA
tt0015768,Master of the House,1925,111,Drama,NA,7.1,1523,NA
tt0015772,The Eagle,1925,73,"Action,Comedy,Drama",NA,6.6,1568,NA
tt0015841,The Freshman,1925,77,"Comedy,Family,Romance",NA,7.5,4626,NA
tt0015842,The Joyless Street,1925,125,Drama,NA,7.2,1283,NA
tt0015863,Go West,1925,69,"Comedy,Western",NA,7.2,3452,NA
tt0015864,The Gold Rush,1925,95,"Adventure,Comedy,Drama",NA,8.2,90856,NA
tt0015881,Greed,1924,140,"Drama,Thriller,Western",NA,8.1,8335,NA
tt0016029,The Little Colonel,1935,81,"Comedy,Family,Musical",NA,7.1,1247,NA
tt0016039,The Lost World,1925,106,"Adventure,Fantasy,Sci-Fi",NA,7.0,4255,NA
tt0016104,The Merry Widow,1925,137,"Drama,Romance",NA,7.3,2037,NA
tt0016220,The Phantom of the Opera,1925,93,Horror,NA,7.6,15221,NA
tt0016230,The Pleasure Garden,1925,75,"Drama,Romance",NA,6.0,1933,NA
tt0016332,Seven Chances,1925,56,"Comedy,Romance",NA,7.9,8305,NA
tt0016473,The Unholy Three,1925,86,"Crime,Drama,Romance",NA,7.2,1532,NA
tt0016544,The Wizard of Oz,1925,81,"Adventure,Comedy,Family",NA,5.1,1354,NA
tt0016630,Battling Butler,1926,77,Comedy,NA,7.1,2446,NA
tt0016641,Ben-Hur: A Tale of the Christ,1925,143,"Adventure,Drama,Romance",NA,7.8,6864,NA
tt0016654,The Black Pirate,1926,88,"Action,Adventure",NA,7.1,1563,NA
tt0016669,La Bohème,1926,95,"Drama,Romance",NA,7.3,1393,NA
tt0016690,Brown of Harvard,1926,85,"Drama,Romance",NA,6.2,1372,NA
tt0016847,Faust,1926,107,"Drama,Fantasy,Horror",NA,8.1,12797,NA
tt0016884,Flesh and the Devil,1926,112,"Drama,Romance",NA,7.7,3737,NA
tt0016895,For Heaven's Sake,1926,58,"Action,Comedy,Romance",NA,7.5,1311,NA
tt0017048,A Page of Madness,1926,70,"Drama,Horror",NA,7.5,2386,NA
tt0017075,The Lodger: A Story of the London Fog,1927,68,"Crime,Drama,Mystery",NA,7.3,9139,NA
tt0017128,Mother,1926,89,Drama,NA,7.5,2235,NA
tt0017136,Metropolis,1927,153,"Drama,Sci-Fi",NA,8.3,146608,NA
tt0017350,The Scarlet Letter,1926,115,Drama,NA,7.7,1421,NA
tt0017416,The Son of the Sheik,1926,68,"Adventure,Drama,Romance",NA,6.7,1688,NA
tt0017423,Sparrows,1926,110,Drama,NA,7.3,1100,NA
tt0017448,Tartuffe,1925,74,Drama,NA,7.2,1755,NA
tt0017449,The Temptress,1926,117,"Drama,Romance",NA,7.0,1013,NA
tt0017534,West Point,1927,95,"Drama,Romance,Sport",NA,6.5,1682,NA
tt0017668,Berlin: Symphony of a Great City,1927,65,Documentary,NA,7.6,3529,NA
tt0017739,The Cat and the Canary,1927,108,"Comedy,Horror,Mystery",NA,7.1,2475,NA
tt0017765,College,1927,66,"Comedy,Drama,Sport",NA,7.1,3995,NA
tt0017825,When Boys Leave Home,1927,80,"Adventure,Drama,Thriller",NA,6.2,1886,NA
tt0017843,Easy Virtue,1928,80,"Romance,Thriller",NA,5.7,2327,NA
tt0017925,The General,1926,67,"Action,Adventure,Comedy",NA,8.1,72874,NA
tt0018033,It,1927,72,"Comedy,Romance",NA,7.3,2744,NA
tt0018037,The Jazz Singer,1927,88,"Drama,Music,Musical",NA,6.5,8294,NA
tt0018051,The Kid Brother,1927,82,"Comedy,Drama,Family",NA,7.7,3484,NA
tt0018054,The King of Kings,1927,155,"Biography,Drama,History",NA,7.3,1757,NA
tt0018066,The End of St. Petersburg,1927,85,Drama,NA,7.3,1348,NA
tt0018097,London After Midnight,1927,69,Horror,NA,6.8,1122,NA
tt0018192,Napoleon,1927,240,"Biography,Drama,History",NA,8.1,6324,NA
tt0018217,October (Ten Days that Shook the World),1927,142,"Drama,History",NA,7.4,6374,NA
tt0018311,The Red Mill,1927,74,"Comedy,Romance",NA,6.6,1320,NA
tt0018328,The Ring,1927,116,"Drama,Romance,Sport",NA,6.2,2892,NA
tt0018379,7th Heaven,1927,110,"Drama,Romance",NA,7.7,2825,NA
tt0018451,The Student Prince in Old Heidelberg,1927,106,"Drama,Romance",NA,7.6,1249,NA
tt0018455,Sunrise,1927,94,"Drama,Romance",NA,8.1,43930,NA
tt0018471,Tell It to the Marines,1926,103,"Comedy,Drama,Romance",NA,6.9,1389,NA
tt0018526,Underworld,1927,80,"Crime,Drama,Film-Noir",NA,7.6,2247,NA
tt0018528,The Unknown,1927,63,"Drama,Horror,Romance",NA,7.8,6564,NA
tt0018578,Wings,1927,144,"Action,Drama,Romance",NA,7.5,10291,NA
tt0018737,Pandora's Box,1929,109,"Crime,Drama,Romance",NA,7.9,9021,NA
tt0018742,The Cameraman,1928,76,"Comedy,Drama,Family",NA,8.1,9369,NA
tt0018756,Champagne,1928,86,Comedy,NA,5.6,1786,NA
tt0018770,The Fall of the House of Usher,1928,63,Horror,NA,7.3,3078,NA
tt0018773,The Circus,1928,72,"Comedy,Romance",NA,8.2,23278,NA
tt0018806,The Crowd,1928,98,"Drama,Romance",NA,8.1,6892,NA
tt0018839,The Docks of New York,1928,76,"Crime,Drama,Film-Noir",NA,7.5,3537,NA
tt0018876,The Farmer's Wife,1928,100,"Comedy,Drama,Romance",NA,5.9,2268,NA
tt0019071,The Last Command,1928,88,"Drama,History,Romance",NA,8.0,2982,NA
tt0019074,"Laugh, Clown, Laugh",1928,73,Drama,NA,7.6,1602,NA
tt0019109,Lonesome,1928,69,"Comedy,Drama,Romance",NA,7.8,1862,NA
tt0019130,The Man Who Laughs,1928,110,"Drama,Horror,Mystery",NA,7.7,4920,NA
tt0019195,The Mysterious Lady,1928,96,"Drama,Romance",NA,7.3,1111,NA
tt0019237,Our Dancing Daughters,1928,85,Drama,NA,6.8,1385,NA
tt0019254,The Passion of Joan of Arc,1928,110,"Biography,Drama,History",NA,8.2,41552,NA
tt0019258,The Patsy,1928,78,"Comedy,Drama,Romance",NA,7.5,2272,NA
tt0019286,Storm Over Asia,1928,127,"Drama,War",NA,7.1,1619,NA
tt0019344,Sadie Thompson,1928,97,Drama,NA,7.2,2403,NA
tt0019379,Show People,1928,83,"Comedy,Romance",NA,7.6,3324,NA
tt0019412,Speedy,1928,85,"Action,Comedy,Family",NA,7.7,2942,NA
tt0019415,Spies,1928,178,"Romance,Thriller",NA,7.6,2841,NA
tt0019421,"Steamboat Bill, Jr.",1928,70,"Action,Comedy,Drama",NA,7.9,11863,NA
tt0019429,Street Angel,1928,102,Drama,NA,7.4,1980,NA
tt0019558,The Wedding March,1928,113,Drama,NA,7.5,1395,NA
tt0019563,West of Zanzibar,1928,65,"Drama,Mystery",NA,7.2,1448,NA
tt0019585,The Wind,1928,95,"Drama,Romance,Western",NA,8.1,5600,NA
tt0019591,A Woman of Affairs,1928,98,Drama,NA,7.3,1297,NA
tt0019644,Applause,1929,80,"Drama,Musical",NA,7.0,1205,NA
tt0019649,Arsenal,1929,90,"Drama,War",NA,7.2,1559,NA
tt0019655,Asphalt,1929,90,Drama,NA,7.4,1276,NA
tt0019702,Blackmail,1929,85,"Crime,Film-Noir,Thriller",NA,7.0,8782,NA
tt0019729,The Broadway Melody,1929,100,"Drama,Musical,Romance",NA,5.7,5874,NA
tt0019760,Man with a Movie Camera,1929,68,"Documentary,Music",NA,8.4,20074,NA
tt0019777,The Cocoanuts,1929,96,"Comedy,Musical",NA,7.0,6513,NA
tt0019788,Coquette,1929,76,"Drama,Romance",NA,5.9,1871,NA
tt0019811,Desert Nights,1929,62,"Adventure,Drama,Romance",NA,6.5,1065,NA
tt0019901,Woman in the Moon,1929,156,"Comedy,Drama,Romance",NA,7.3,2684,NA
tt0019959,Hallelujah,1929,109,"Drama,Musical",NA,6.8,1428,NA
tt0019993,The Hollywood Revue of 1929,1929,130,Musical,NA,6.0,1751,NA
tt0020030,The Iron Mask,1929,95,"Adventure,Drama,History",NA,7.1,1077,NA
tt0020112,The Love Parade,1929,107,"Comedy,Musical,Romance",NA,7.1,1791,NA
tt0020122,Lucky Star,1929,100,"Drama,Romance",NA,7.8,1071,NA
tt0020142,The Manxman,1929,110,"Drama,Romance",NA,6.2,2371,NA
tt0020143,Marianne,1929,111,"Drama,Musical,Romance",NA,6.3,1128,NA
tt0020163,People on Sunday,1930,73,"Comedy,Drama,Romance",NA,7.4,2470,NA
tt0020269,Piccadilly,1929,92,"Crime,Drama",NA,7.2,1233,NA
tt0020298,Queen Kelly,1932,101,Drama,NA,7.2,2965,NA
tt0020442,Spite Marriage,1929,76,Comedy,NA,7.0,1665,NA
tt0020451,Old and New,1929,121,Drama,NA,7.2,1127,NA
tt0020475,Diary of a Lost Girl,1929,104,Drama,NA,7.9,3741,NA
tt0020514,The Trespasser,1929,90,Drama,NA,6.6,1181,NA
tt0020620,Abraham Lincoln,1930,96,"Biography,Drama,History",NA,5.7,1211,NA
tt0020629,All Quiet on the Western Front,1930,136,"Drama,War",NA,8.0,53918,NA
tt0020640,Animal Crackers,1930,97,"Comedy,Musical",NA,7.6,12329,NA
tt0020641,Anna Christie,1930,89,"Drama,Romance",NA,6.7,2536,NA
tt0020686,The Big House,1930,87,"Crime,Drama,Thriller",NA,7.1,1657,NA
tt0020691,The Big Trail,1930,125,"Adventure,Romance,Western",NA,7.2,3100,NA
tt0020697,The Blue Angel,1930,104,"Drama,Music",NA,7.7,12557,NA
tt0020768,City Girl,1930,77,"Drama,Romance",NA,7.8,2609,NA
tt0020815,The Dawn Patrol,1930,108,"Action,Drama,War",NA,7.2,1521,NA
tt0020827,The Divorcee,1930,84,"Drama,Romance",NA,6.8,2490,NA
tt0020891,The Florodora Girl,1930,79,"Drama,Musical,Romance",NA,6.0,1206,NA
tt0020960,Hell's Angels,1930,127,"Drama,War",NA,7.4,4498,NA
tt0021015,Juno and the Paycock,1930,85,"Comedy,Drama",NA,4.8,1902,NA
tt0021079,Little Caesar,1931,79,"Action,Crime,Drama",NA,7.3,10923,NA
tt0021148,Min and Bill,1930,69,"Comedy,Drama",NA,6.8,1417,NA
