tconst,title,year,runtime,genre,director,rating,num_votes,img_url
tt0083015,S.O.B.,1981,122,"Comedy,Drama",NA,6.4,5104,NA
tt0083033,Saturday the 14th,1981,75,"Comedy,Fantasy,Horror",NA,4.7,3064,NA
tt0083053,Gauche the Cellist,1982,60,"Animation,Fantasy,Music",NA,7.0,1201,NA
tt0083064,Sharky's Machine,1981,122,"Action,Crime,Drama",NA,6.3,4944,NA
tt0083067,Shock Treatment,1981,94,"Comedy,Musical",NA,5.8,4188,NA
tt0083081,Silsila,1981,182,"Drama,Family,Romance",NA,7.4,2314,NA
tt0083089,Do You Remember Dolly Bell?,1981,110,"Comedy,Drama,Romance",NA,7.7,5219,NA
tt0083107,Some Kind of Hero,1982,97,"Comedy,Crime,Drama",NA,5.8,1199,NA
tt0083109,The Cabbage Soup,1981,98,"Comedy,Sci-Fi",NA,6.5,6767,NA
tt0083110,Les sous-doués en vacances,1982,95,"Comedy,Music,Romance",NA,4.8,1211,NA
tt0083111,Southern Comfort,1981,106,"Action,Thriller",NA,7.2,14766,NA
tt0083113,Sphinx,1981,117,"Adventure,Mystery,Thriller",NA,5.2,1070,NA
tt0083131,Stripes,1981,106,"Comedy,War",NA,6.9,59795,NA
tt0083133,Student Bodies,1981,86,"Comedy,Horror",NA,5.6,4067,NA
tt0083146,Sweet Sixteen,1983,90,"Horror,Thriller",NA,5.2,1152,NA
tt0083156,Bloody Moon,1981,90,"Horror,Mystery,Thriller",NA,5.3,1696,NA
tt0083162,The Mysterious Castle in the Carpathians,1981,97,"Adventure,Comedy,Fantasy",NA,7.5,1018,NA
tt0083169,Taps,1981,126,Drama,NA,6.8,15620,NA
tt0083170,Tarzan the Ape Man,1981,115,"Adventure,Drama",NA,3.4,4886,NA
tt0083189,They All Laughed,1981,115,"Comedy,Romance",NA,6.4,2033,NA
tt0083190,Thief,1981,123,"Action,Crime,Drama",NA,7.4,22060,NA
tt0083193,This Is Elvis,1981,101,"Biography,Music",NA,7.5,1035,NA
tt0083226,Three Brothers,1981,113,Drama,NA,7.2,1294,NA
tt0083232,True Confessions,1981,108,"Crime,Drama",NA,6.3,6576,NA
tt0083254,Under the Rainbow,1981,98,Comedy,NA,5.4,2426,NA
tt0083260,Bolero,1981,184,"Drama,Music",NA,7.4,2227,NA
tt0083261,The Unseen,1980,89,"Horror,Thriller",NA,5.3,1337,NA
tt0083271,Vabank,1981,108,"Comedy,Crime",NA,7.9,3348,NA
tt0083275,Variola Vera,1982,110,"Drama,Horror",NA,8.1,1803,NA
tt0083276,Beware of the Jönsson Gang,1981,89,"Comedy,Crime",NA,6.2,3056,NA
tt0083281,"Vernon, Florida",1981,55,"Comedy,Documentary",NA,7.1,2811,NA
tt0083284,Victory,1981,116,"Drama,Sport,War",NA,6.7,25399,NA
tt0083287,"Viens chez moi, j'habite chez une copine",1981,85,Comedy,NA,6.3,1092,NA
tt0083296,Visiting Hours,1982,105,"Horror,Thriller",NA,5.7,3334,NA
tt0083326,Whose Life Is It Anyway?,1981,119,Drama,NA,7.3,2477,NA
tt0083336,Wolfen,1981,115,"Horror,Thriller",NA,6.3,8257,NA
tt0083349,Yaarana,1981,138,"Action,Drama,Musical",NA,7.1,1396,NA
tt0083366,Zorro: The Gay Blade,1981,93,"Action,Adventure,Comedy",NA,6.2,3769,NA
tt0083449,The Missionary,1982,90,Comedy,NA,6.2,1883,NA
tt0083511,48 Hrs.,1982,96,"Action,Comedy,Crime",NA,6.9,63731,NA
tt0083530,Airplane II: The Sequel,1982,85,"Comedy,Sci-Fi",NA,6.2,45499,NA
tt0083542,Alone in the Dark,1982,92,"Horror,Thriller",NA,6.1,4029,NA
tt0083549,All My Friends Part 2,1982,127,"Comedy,Drama",NA,7.7,2481,NA
tt0083550,Amityville II: The Possession,1982,104,Horror,NA,5.5,9301,NA
tt0083557,Android,1982,80,Sci-Fi,NA,5.8,2166,NA
tt0083564,Annie,1982,126,"Comedy,Drama,Family",NA,6.6,37001,NA
tt0083578,Arth,1982,138,"Drama,Romance",NA,8.0,1090,NA
tt0083580,Ace of Aces,1982,100,"Adventure,Comedy,Sport",NA,6.6,2751,NA
tt0083590,The Atomic Cafe,1982,86,"Documentary,History",NA,7.6,3711,NA
tt0083591,Attack Force Z,1981,93,"Action,Drama,History",NA,5.6,2000,NA
tt0083598,Author! Author!,1982,110,"Comedy,Drama,Family",NA,6.2,4735,NA
tt0083618,Banzaï,1983,102,"Adventure,Comedy",NA,5.9,1356,NA
tt0083619,Barbarosa,1982,90,Western,NA,6.4,1314,NA
tt0083624,Basket Case,1982,91,"Comedy,Horror",NA,6.2,14669,NA
tt0083628,The Beach Girls,1982,91,Comedy,NA,5.0,1266,NA
tt0083629,The Beast Within,1982,98,Horror,NA,5.6,3066,NA
tt0083630,The Beastmaster,1982,118,"Action,Adventure,Fantasy",NA,6.2,18683,NA
tt0083641,Best Friends,1982,116,"Comedy,Drama,Romance",NA,5.4,2322,NA
tt0083642,The Best Little Whorehouse in Texas,1982,114,"Comedy,Musical",NA,5.9,9206,NA
tt0083652,Bill Cosby: Himself,1983,105,"Comedy,Documentary",NA,8.2,3337,NA
tt0083655,Bingo Bongo,1982,102,"Comedy,Family",NA,6.1,1483,NA
tt0083658,Blade Runner,1982,117,"Action,Sci-Fi,Thriller",NA,8.1,637625,NA
tt0083661,Bloodtide,1982,97,"Adventure,Horror",NA,3.7,1020,NA
tt0083675,Bomber,1982,101,"Action,Comedy,Crime",NA,6.4,3372,NA
tt0083678,The Border,1982,108,"Crime,Drama",NA,6.4,5437,NA
tt0083680,Borotalco,1982,107,Comedy,NA,6.9,1496,NA
tt0083686,The Party 2,1982,109,"Comedy,Drama,Family",NA,6.2,3807,NA
tt0083693,Brimstone & Treacle,1982,87,"Drama,Thriller",NA,6.4,1277,NA
tt0083694,Britannia Hospital,1982,116,"Comedy,Sci-Fi",NA,6.3,2133,NA
tt0083701,Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,1982,74,"Adventure,Animation,Comedy",NA,7.1,1591,NA
tt0083702,Burden of Dreams,1982,95,Documentary,NA,7.9,5701,NA
tt0083715,Thieves and Robbers,1983,101,"Comedy,Crime",NA,5.8,1436,NA
tt0083717,Cannery Row,1982,120,"Comedy,Drama,Romance",NA,6.7,3139,NA
tt0083722,Cat People,1982,118,"Fantasy,Horror,Thriller",NA,6.1,17711,NA
tt0083726,The Challenge,1982,113,"Action,Drama",NA,6.3,1754,NA
tt0083739,Class of 1984,1982,98,"Action,Crime,Drama",NA,6.6,8541,NA
tt0083745,"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean",1982,109,"Comedy,Drama",NA,7.2,3724,NA
tt0083767,Creepshow,1982,120,"Comedy,Fantasy,Horror",NA,6.9,38219,NA
tt0083789,Danton,1983,136,"Biography,Drama,History",NA,7.5,5757,NA
tt0083791,The Dark Crystal,1982,93,"Adventure,Family,Fantasy",NA,7.2,54446,NA
tt0083798,Dead Men Don't Wear Plaid,1982,88,"Comedy,Crime,Mystery",NA,6.9,19085,NA
tt0083801,Deadly Eyes,1982,87,"Horror,Sci-Fi,Thriller",NA,4.8,1017,NA
tt0083805,Death Valley,1982,87,"Crime,Horror,Thriller",NA,5.5,1241,NA
tt0083806,Deathtrap,1982,116,"Comedy,Crime,Mystery",NA,7.0,10899,NA
tt0083824,Quarter to Two Before Jesus Christ,1982,110,Comedy,NA,5.9,1347,NA
tt0083833,Diner,1982,110,"Comedy,Drama",NA,7.1,17551,NA
tt0083851,The Draughtsman's Contract,1982,108,"Comedy,Drama,History",NA,7.3,8335,NA
tt0083866,E.T. the Extra-Terrestrial,1982,115,"Family,Sci-Fi",NA,7.8,341663,NA
tt0083869,Eating Raoul,1982,90,"Comedy,Crime",NA,6.8,6285,NA
tt0083871,Eccezzziunale... veramente,1982,95,"Comedy,Sport",NA,6.5,1100,NA
tt0083888,The Simple-Minded Murderer,1982,108,Drama,NA,7.7,2677,NA
tt0083891,Enigma,1982,122,"Drama,Thriller",NA,5.9,1070,NA
tt0083906,Eureka,1983,130,"Drama,Thriller",NA,6.0,2646,NA
tt0083907,The Evil Dead,1981,85,Horror,NA,7.5,171915,NA
tt0083908,Evil Under the Sun,1982,117,"Drama,Mystery",NA,7.1,12288,NA
tt0083922,Fanny and Alexander,1982,188,Drama,NA,8.1,52796,NA
tt0083929,Fast Times at Ridgemont High,1982,90,"Comedy,Drama",NA,7.2,86247,NA
tt0083931,Son of the White Mare,1981,81,"Adventure,Animation,Fantasy",NA,7.9,1131,NA
tt0083941,The Final Option,1982,125,"Action,Thriller",NA,6.3,2601,NA
tt0083943,Firefox,1982,136,"Action,Adventure,Thriller",NA,5.9,23588,NA
tt0083944,First Blood,1982,93,"Action,Adventure",NA,7.7,205872,NA
tt0083946,Fitzcarraldo,1982,158,"Adventure,Drama",NA,8.1,28006,NA
tt0083959,Forbidden World,1982,77,"Horror,Sci-Fi",NA,5.2,3439,NA
tt0083960,Forced Vengeance,1982,90,"Action,Adventure,Crime",NA,5.7,2536,NA
tt0083967,Frances,1982,140,"Biography,Drama,Romance",NA,7.4,6377,NA
tt0083972,Friday the 13th Part III,1982,95,"Horror,Thriller",NA,5.7,42382,NA
tt0083976,Funeral Home,1980,93,"Horror,Thriller",NA,5.2,1108,NA
tt0083987,Gandhi,1982,191,"Biography,Drama,History",NA,8.0,209086,NA
tt0083996,The Troops & Troop-ettes,1982,102,"Adventure,Comedy,Crime",NA,6.2,6167,NA
tt0084021,Grease 2,1982,115,"Comedy,Drama,Musical",NA,4.3,30748,NA
tt0084028,Absurd,1981,96,Horror,NA,5.4,2108,NA
tt0084049,Hanky Panky,1982,110,"Action,Comedy,Crime",NA,5.7,2212,NA
tt0084058,Heat and Dust,1983,130,"Drama,Romance",NA,6.6,1431,NA
tt0084088,Honkytonk Man,1982,122,"Comedy,Drama,Music",NA,6.6,7371,NA
tt0084090,Horrorplanet,1981,93,"Horror,Sci-Fi",NA,3.9,2483,NA
tt0084112,"I, the Jury",1982,111,"Crime,Drama,Mystery",NA,6.0,1313,NA
tt0084116,Identification of a Woman,1982,130,"Drama,Romance",NA,6.7,2394,NA
tt0084133,The Incubus,1982,93,"Horror,Thriller",NA,5.4,1753,NA
tt0084171,Jekyll and Hyde... Together Again,1982,87,"Comedy,Music,Sci-Fi",NA,6.3,1043,NA
tt0084189,The Jönsson Gang & Dynamite Harry,1982,106,"Comedy,Crime,Thriller",NA,6.0,2899,NA
tt0084210,Kiss Me Goodbye,1982,101,"Comedy,Fantasy,Romance",NA,6.1,1748,NA
tt0084228,Labyrinth of Passion,1982,100,"Comedy,Drama,Romance",NA,6.2,3497,NA
tt0084234,The Last American Virgin,1982,92,"Comedy,Drama,Romance",NA,6.3,7285,NA
tt0084237,The Last Unicorn,1982,92,"Adventure,Animation,Drama",NA,7.5,22638,NA
tt0084266,Dragon Lord,1982,102,"Action,Comedy,Sport",NA,6.5,3064,NA
tt0084267,Ninja in the Dragon's Den,1982,95,"Action,Comedy",NA,7.4,1558,NA
tt0084293,Making Love,1982,113,Drama,NA,6.8,2281,NA
tt0084296,The Man from Snowy River,1982,102,"Adventure,Drama,Romance",NA,7.3,7304,NA
tt0084298,Manhattan Baby,1982,89,Horror,NA,4.9,2044,NA
tt0084302,The Marathon Family,1982,92,"Comedy,Drama",NA,9.0,13182,NA
tt0084315,Time Masters,1982,78,"Adventure,Animation,Sci-Fi",NA,7.5,4695,NA
tt0084316,Megaforce,1982,99,"Action,Sci-Fi",NA,3.8,3036,NA
tt0084329,A Midsummer Night's Sex Comedy,1982,88,Comedy,NA,6.6,17351,NA
tt0084335,Missing,1982,122,"Biography,Drama,History",NA,7.7,16835,NA
tt0084345,My Friend Ivan Lapshin,1985,100,Drama,NA,7.7,1767,NA
tt0084352,Monty Python Live at the Hollywood Bowl,1982,77,"Comedy,Documentary,Musical",NA,7.9,12672,NA
tt0084354,Moonlighting,1982,97,Drama,NA,7.5,2388,NA
tt0084357,The Living Dead Girl,1982,86,Horror,NA,5.8,1749,NA
tt0084358,Deadly Circuit,1983,120,"Crime,Mystery,Romance",NA,7.2,2071,NA
tt0084359,Mother Lode,1982,101,"Adventure,Mystery,Thriller",NA,6.1,1082,NA
tt0084370,My Favorite Year,1982,92,"Comedy,Drama",NA,7.4,8028,NA
tt0084385,Namak Halaal,1982,171,"Action,Comedy,Drama",NA,7.4,2046,NA
tt0084390,The Ballad of Narayama,1983,130,Drama,NA,7.9,6409,NA
tt0084395,Class Reunion,1982,84,"Comedy,Horror",NA,4.8,1828,NA
tt0084408,Next of Kin,1982,89,"Horror,Mystery",NA,6.4,1321,NA
tt0084412,Night Shift,1982,106,Comedy,NA,6.6,12987,NA
tt0084422,The Night of the Shooting Stars,1982,107,"Drama,Romance,War",NA,7.4,3463,NA
tt0084423,La nuit de Varennes,1982,150,"Drama,History",NA,7.4,1854,NA
tt0084424,Warriors of the Wasteland,1983,91,"Action,Romance,Sci-Fi",NA,4.6,2151,NA
tt0084434,An Officer and a Gentleman,1982,124,"Drama,Romance",NA,7.0,45004,NA
tt0084445,One from the Heart,1981,107,"Drama,Musical,Romance",NA,6.5,4693,NA
tt0084469,Paradise,1982,100,"Adventure,Romance",NA,4.9,2247,NA
tt0084472,Parasite,1982,85,"Horror,Sci-Fi",NA,3.8,1835,NA
tt0084477,Partners,1982,93,"Comedy,Crime",NA,5.3,1039,NA
tt0084481,Passion,1982,88,"Comedy,Drama",NA,6.2,2118,NA
tt0084488,Permanent Vacation,1980,75,"Comedy,Drama",NA,6.4,7618,NA
tt0084489,Personal Best,1982,124,"Drama,Sport",NA,6.3,2294,NA
tt0084503,Pink Floyd: The Wall,1982,95,"Animation,Drama,Fantasy",NA,8.1,71147,NA
tt0084504,The Pirate Movie,1982,105,"Adventure,Comedy,Musical",NA,5.3,3820,NA
tt0084509,The Plague Dogs,1982,103,"Adventure,Animation,Drama",NA,7.8,6178,NA
tt0084516,Poltergeist,1982,114,"Horror,Thriller",NA,7.3,130908,NA
tt0084522,Porky's,1981,94,Comedy,NA,6.2,35617,NA
tt0084548,Interrogation,1989,118,"Crime,Drama,Thriller",NA,8.0,2724,NA
tt0084549,Blind Chance,1987,114,Drama,NA,7.9,7193,NA
tt0084555,Le père Noël est une ordure,1982,88,Comedy,NA,7.6,7721,NA
tt0084556,Q,1982,93,"Crime,Horror,Mystery",NA,6.0,5915,NA
tt0084565,Querelle,1982,108,Drama,NA,6.8,5293,NA
tt0084573,Raw Force,1982,86,"Action,Adventure,Comedy",NA,5.4,1294,NA
tt0084589,The Return of Martin Guerre,1982,122,"Biography,Crime,Drama",NA,7.4,3731,NA
tt0084597,Richard Pryor: Live on the Sunset Strip,1982,82,"Comedy,Documentary",NA,7.7,3453,NA
tt0084602,Rocky III,1982,99,"Drama,Sport",NA,6.8,159482,NA
tt0084620,I Enjoy the World with You,1983,82,"Comedy,Family",NA,7.7,1043,NA
tt0084628,Sans Soleil,1983,104,"Documentary,Drama",NA,8.0,8532,NA
tt0084629,Private Popsicle,1982,107,"Comedy,Drama,Romance",NA,5.5,1063,NA
tt0084630,Satte Pe Satta,1982,160,"Action,Comedy,Drama",NA,7.2,2748,NA
tt0084633,Savannah Smiles,1982,105,"Comedy,Family",NA,7.2,1679,NA
tt0084649,The Secret of NIMH,1982,82,"Adventure,Animation,Drama",NA,7.6,33580,NA
tt0084654,Veronika Voss,1982,104,Drama,NA,7.8,5455,NA
tt0084658,The Sender,1982,91,"Drama,Horror,Sci-Fi",NA,6.1,1298,NA
tt0084667,Shakti,1982,166,"Action,Crime,Drama",NA,7.7,1718,NA
tt0084671,Legendary Weapons of China,1982,109,"Action,Comedy,Drama",NA,7.0,1105,NA
tt0084675,Shoot the Moon,1982,124,Drama,NA,6.9,2273,NA
tt0084684,Silent Rage,1982,103,"Action,Crime,Horror",NA,5.5,4516,NA
tt0084690,Six Pack,1982,108,"Comedy,Drama,Sport",NA,5.9,2422,NA
tt0084694,The Slayer,1982,80,"Horror,Mystery",NA,5.2,1670,NA
tt0084695,The Slumber Party Massacre,1982,77,Horror,NA,5.7,8852,NA
tt0084698,Smithereens,1982,93,"Drama,Music",NA,6.8,1303,NA
tt0084707,Sophie's Choice,1982,150,"Drama,Romance",NA,7.6,37652,NA
tt0084716,Sportloto-82,1982,95,"Action,Adventure,Comedy",NA,6.9,1487,NA
tt0084719,The New York Ripper,1982,91,"Horror,Mystery,Thriller",NA,6.4,8369,NA
tt0084725,The State of Things,1982,121,Drama,NA,7.1,2549,NA
tt0084726,Star Trek II: The Wrath of Khan,1982,113,"Action,Adventure,Sci-Fi",NA,7.7,106112,NA
tt0084732,Still of the Night,1982,93,"Crime,Drama,Mystery",NA,6.1,3763,NA
tt0084737,Summer Lovers,1982,98,"Comedy,Drama,Romance",NA,5.7,3553,NA
tt0084739,Superstition,1982,86,Horror,NA,5.8,2253,NA
tt0084740,El Sur,1983,95,"Drama,Romance",NA,7.9,3886,NA
tt0084745,Swamp Thing,1982,91,"Horror,Sci-Fi",NA,5.4,11995,NA
tt0084749,The Sword and the Sorcerer,1982,100,"Action,Adventure,Fantasy",NA,5.6,5223,NA
tt0084750,Sword of the Valiant: The Legend of Sir Gawain and the Green Knight,1984,102,"Action,Adventure,Fantasy",NA,4.5,1768,NA
tt0084776,Tempest,1982,140,"Comedy,Drama,Fantasy",NA,6.5,2039,NA
tt0084777,Tenebrae,1982,101,"Horror,Mystery,Thriller",NA,7.1,18360,NA
tt0084780,A Tight Spot,1982,92,Comedy,NA,8.2,2729,NA
tt0084783,Tex,1982,103,Drama,NA,6.5,1803,NA
tt0084786,They Call Me Bruce?,1982,87,"Action,Comedy",NA,5.7,1298,NA
tt0084787,The Thing,1982,109,"Horror,Mystery,Sci-Fi",NA,8.1,336842,NA
tt0084788,Things Are Tough All Over,1982,90,"Action,Comedy",NA,6.0,2850,NA
tt0084796,Time Walker,1982,83,"Horror,Sci-Fi",NA,3.4,1362,NA
tt0084805,Tootsie,1982,116,"Comedy,Drama,Romance",NA,7.4,90484,NA
tt0084809,The Toy,1982,102,Comedy,NA,5.9,10555,NA
tt0084814,Trail of the Pink Panther,1982,96,"Comedy,Crime,Mystery",NA,5.0,8889,NA
tt0084821,La traviata,1982,109,"Drama,Music",NA,6.9,1258,NA
tt0084827,TRON,1982,96,"Action,Adventure,Sci-Fi",NA,6.8,107056,NA
tt0084845,Uuno Turhapuro menettää muistinsa,1982,82,Comedy,NA,5.8,1019,NA
tt0084854,Venom,1981,93,"Horror,Thriller",NA,5.8,2231,NA
tt0084855,The Verdict,1982,129,Drama,NA,7.7,32807,NA
tt0084861,Vice Squad,1982,97,"Action,Crime,Drama",NA,6.5,1665,NA
tt0084865,Victor Victoria,1982,134,"Comedy,Music,Musical",NA,7.6,18089,NA
tt0084867,Vigilante,1982,90,"Action,Crime,Thriller",NA,6.6,2441,NA
tt0084873,A Railway Station for Two,1983,141,"Drama,Romance",NA,7.9,2532,NA
tt0084874,Volver a empezar,1982,87,Drama,NA,7.0,1105,NA
tt0084899,White Dog,1982,90,"Drama,Horror",NA,7.1,7909,NA
tt0084904,Wild Style,1983,82,"Drama,Music",NA,7.1,2058,NA
tt0084917,The World According to Garp,1982,136,"Comedy,Drama",NA,7.2,23690,NA
tt0084920,Wrong Is Right,1982,117,"Comedy,Drama,Thriller",NA,5.7,1600,NA
tt0084921,Five Element Ninjas,1982,107,"Action,Drama",NA,7.4,1844,NA
tt0084924,Duel to the Death,1983,86,"Action,Drama",NA,7.2,1583,NA
tt0084934,Yol,1982,114,Drama,NA,8.2,10994,NA
tt0084935,"Yor, the Hunter from the Future",1983,88,"Action,Adventure,Fantasy",NA,4.5,2536,NA
tt0084938,Young Doctors in Love,1982,96,Comedy,NA,5.4,2794,NA
tt0084945,Zapped!,1982,98,"Comedy,Fantasy,Sci-Fi",NA,5.0,5666,NA
tt0084953,Znachor,1982,128,"Drama,Romance",NA,7.8,2061,NA
tt0084955,Mad Mission,1982,93,"Action,Comedy",NA,6.8,1235,NA
tt0085121,10 to Midnight,1983,101,"Crime,Drama,Thriller",NA,6.3,5895,NA
tt0085124,1990: The Bronx Warriors,1982,92,"Action,Sci-Fi,Thriller",NA,5.3,2607,NA
tt0085125,2019: After the Fall of New York,1983,96,"Action,Horror,Sci-Fi",NA,5.6,2515,NA
tt0085127,Project A,1983,105,"Action,Comedy",NA,7.4,13558,NA
tt0085154,All the Right Moves,1983,91,"Drama,Romance,Sport",NA,5.9,14647,NA
tt0085159,Amityville 3-D,1983,105,Horror,NA,4.1,5178,NA
tt0085178,Ardh Satya,1983,130,"Crime,Drama",NA,8.2,1413,NA
tt0085180,L'Argent,1983,85,"Crime,Drama",NA,7.5,7223,NA
tt0085183,"Ator, the Fighting Eagle",1982,98,"Action,Adventure,Fantasy",NA,3.2,1763,NA
tt0085204,BMX Bandits,1983,88,"Adventure,Crime,Drama",NA,5.5,4396,NA
tt0085208,Baby It's You,1983,105,"Comedy,Drama,Romance",NA,6.3,1612,NA
tt0085210,Bad Boys,1983,123,"Crime,Drama,Thriller",NA,7.2,12850,NA
tt0085211,The Prodigal Son,1981,104,"Action,Comedy",NA,7.5,2723,NA
tt0085213,Le Bal,1983,112,"History,Musical",NA,7.8,2307,NA
tt0085215,Balkan ekspres,1983,102,"Comedy,War",NA,7.8,1896,NA
tt0085218,Barefoot Gen,1983,83,"Animation,Biography,Drama",NA,8.0,6558,NA
tt0085224,The Being,1983,82,"Horror,Sci-Fi",NA,4.2,1088,NA
tt0085234,Betrayal,1983,95,"Drama,Thriller",NA,7.1,1376,NA
tt0085236,Beyond the Limit,1983,104,"Drama,Romance,Thriller",NA,5.8,1111,NA
tt0085240,Bianca,1984,96,"Comedy,Drama",NA,7.5,2518,NA
tt0085244,The Big Chill,1983,105,"Comedy,Drama",NA,7.2,30452,NA
tt0085248,The Black Stallion Returns,1983,103,"Adventure,Family",NA,6.0,1861,NA
tt0085253,Blood Rage,1987,82,Horror,NA,5.8,2649,NA
tt0085255,Blue Thunder,1983,109,"Action,Crime,Drama",NA,6.4,15464,NA
tt0085271,Brainstorm,1983,106,"Sci-Fi,Thriller",NA,6.5,10218,NA
tt0085276,Breathless,1983,100,"Action,Drama,Romance",NA,5.9,7799,NA
tt0085297,Carmen,1983,102,"Drama,Music,Romance",NA,7.6,2711,NA
tt0085303,A Blade in the Dark,1983,110,"Horror,Mystery,Thriller",NA,6.0,2664,NA
tt0085318,Chained Heat,1983,95,"Action,Crime,Drama",NA,4.9,1928,NA
tt0085327,Who Finds a Friend Finds a Treasure,1981,108,"Action,Adventure,Comedy",NA,7.2,9358,NA
tt0085328,The Key,1983,116,"Drama,History,Romance",NA,5.5,2272,NA
tt0085333,Christine,1983,110,"Horror,Thriller",NA,6.7,64584,NA
tt0085334,A Christmas Story,1983,94,"Comedy,Family",NA,8.0,122462,NA
tt0085335,Chuchelo,1984,127,Drama,NA,7.8,1322,NA
tt0085346,Class,1983,98,"Comedy,Drama,Romance",NA,6.0,8896,NA
tt0085354,The ComDads,1983,92,"Comedy,Crime",NA,7.0,4797,NA
tt0085356,Conquest,1983,88,"Action,Adventure,Fantasy",NA,5.2,1621,NA
tt0085361,Coolie,1983,177,"Action,Comedy,Drama",NA,6.7,1758,NA
tt0085370,Entre Nous,1983,110,"Biography,Drama,War",NA,7.2,1463,NA
tt0085380,Cross Creek,1983,127,"Biography,Drama,Romance",NA,7.0,1350,NA
tt0085382,Cujo,1983,93,"Horror,Thriller",NA,6.1,35328,NA
tt0085384,Curse of the Pink Panther,1983,109,"Comedy,Crime,Mystery",NA,4.3,5175,NA
tt0085385,Curtains,1983,89,"Horror,Mystery,Thriller",NA,5.7,3493,NA
tt0085387,D.C. Cab,1983,100,"Action,Comedy",NA,5.5,4103,NA
tt0085390,Daffy Duck's Movie: Fantastic Island,1983,78,"Animation,Comedy,Family",NA,7.1,1563,NA
tt0085398,Daniel,1983,130,Drama,NA,6.7,1035,NA
tt0085407,The Dead Zone,1983,103,"Drama,Horror,Sci-Fi",NA,7.2,55461,NA
tt0085412,Deal of the Century,1983,99,"Comedy,Crime",NA,4.7,3353,NA
tt0085426,Le Dernier Combat (The Last Battle),1983,92,Sci-Fi,NA,6.8,5135,NA
tt0085450,Doctor Detroit,1983,89,Comedy,NA,5.3,5046,NA
tt0085454,The World of Don Camillo,1984,126,"Action,Comedy",NA,5.7,1674,NA
tt0085461,The Dresser,1983,118,Drama,NA,7.6,4434,NA
tt0085470,Easy Money,1983,95,Comedy,NA,6.3,7231,NA
tt0085475,Eddie and the Cruisers,1983,95,"Drama,Music,Mystery",NA,6.9,6341,NA
tt0085478,Educating Rita,1983,110,"Comedy,Drama",NA,7.2,11396,NA
tt0085482,El Norte,1983,141,Drama,NA,7.7,4473,NA
tt0085486,Emmanuelle IV,1984,90,"Drama,Romance",NA,3.3,1129,NA
tt0085496,Dark Habits,1983,114,"Comedy,Drama",NA,6.6,5555,NA
tt0085518,Faces of Death II,1981,85,"Documentary,Horror",NA,3.6,1583,NA
tt0085524,Fantozzi subisce ancora,1983,85,Comedy,NA,6.5,1674,NA
tt0085533,All the Youthful Days,1983,99,Drama,NA,7.4,1068,NA
tt0085542,Fire and Ice,1983,81,"Adventure,Animation,Fantasy",NA,6.6,8619,NA
tt0085549,Flashdance,1983,95,"Drama,Music,Romance",NA,6.2,43475,NA
tt0085574,G,1983,109,"Drama,Music",NA,5.3,1162,NA
tt0085599,Sweet Bunch,1983,154,"Crime,Drama,Thriller",NA,7.4,1207,NA
tt0085601,Go for It,1983,107,"Action,Adventure,Comedy",NA,7.2,8054,NA
tt0085603,Going Berserk,1983,84,Comedy,NA,5.3,1463,NA
tt0085615,Gorky Park,1983,128,"Crime,Drama,Mystery",NA,6.8,11458,NA
tt0085622,The Grey Fox,1982,110,"Biography,Drama,Romance",NA,7.4,1492,NA
tt0085636,Halloween III: Season of the Witch,1982,98,"Horror,Mystery,Sci-Fi",NA,4.9,38982,NA
tt0085640,Hammett,1982,97,"Crime,Drama,Mystery",NA,6.5,2681,NA
tt0085656,Heart Like a Wheel,1983,113,"Biography,Drama,Romance",NA,6.8,1176,NA
tt0085672,Hercules,1983,98,"Adventure,Fantasy",NA,3.9,3233,NA
tt0085678,High Road to China,1983,105,"Adventure,Drama,Romance",NA,6.1,4601,NA
tt0085693,House of the Long Shadows,1983,102,"Comedy,Horror,Mystery",NA,6.3,2718,NA
tt0085694,The House on Sorority Row,1983,91,"Horror,Mystery,Thriller",NA,6.0,6323,NA
tt0085701,The Hunger,1983,97,"Drama,Horror",NA,6.7,21078,NA
tt0085743,Jaane Bhi Do Yaaro,1983,132,"Comedy,Drama",NA,8.4,11752,NA
tt0085750,Jaws 3-D,1983,99,"Adventure,Horror,Thriller",NA,3.7,36324,NA
tt0085755,The Jigsaw Man,1983,94,Thriller,NA,5.2,1330,NA
tt0085764,Joysticks,1983,88,Comedy,NA,4.4,1617,NA
tt0085768,Kakav deda takav unuk,1983,92,Comedy,NA,7.3,1030,NA
tt0085780,The Keep,1983,96,"Drama,Fantasy,Horror",NA,5.7,10006,NA
tt0085794,The King of Comedy,1982,109,"Comedy,Crime,Drama",NA,7.7,69080,NA
tt0085809,Koyaanisqatsi,1982,86,"Documentary,Music",NA,8.3,32337,NA
tt0085811,Krull,1983,116,"Action,Adventure,Sci-Fi",NA,6.1,28141,NA
tt0085838,Lianna,1983,110,"Drama,Romance",NA,6.7,1477,NA
tt0085852,Liquid Sky,1982,112,"Sci-Fi,Thriller",NA,6.2,5131,NA
tt0085859,Local Hero,1983,111,"Comedy,Drama",NA,7.4,18949,NA
tt0085862,Lone Wolf McQuade,1983,107,"Action,Crime,Drama",NA,6.4,9906,NA
tt0085864,Fearless Hyena 2,1983,92,Action,NA,5.2,1315,NA
